,excess_portfolio_return
1997-05-27,-0.0010173316109576
1997-05-28,-0.0014233767786835
1997-05-29,0.0017322930249163999
1997-05-30,0.00040375126209809994
1997-06-02,-0.001576671406418
1997-06-03,0.003154758940486308
1997-06-04,-0.0038085648528898
1997-06-05,0.005368501933615007
1997-06-06,0.008671004812740801
1997-06-09,-0.0010077396131118002
1997-06-10,0.0033184086464177
1997-06-11,0.0022665558547398
1997-06-12,0.005179086759464449
1997-06-13,0.0037070241684145
1997-06-16,0.0021727484485733997
1997-06-17,0.0017998165802326
1997-06-18,-0.0048318858564864
1997-06-19,0.006501609626735833
1997-06-20,-0.0022767418299905
1997-06-23,-0.006958338125041499
1997-06-24,0.0058798166192828
1997-06-25,-0.0045734935199068716
1997-06-26,-0.0038159872964532
1997-06-27,-0.0015889374795788947
1997-06-30,-0.006044484263806
1997-07-01,0.005896047452588
1997-07-02,0.0045896599162678995
1997-07-03,0.0021772867147165
1997-07-07,-0.0148419333998991
1997-07-08,0.0054631466036238
1997-07-09,-0.0075730462892387995
1997-07-10,0.0052941170359978
1997-07-11,0.0020748236269831576
1997-07-14,-0.0034514681583943836
1997-07-15,0.0012373909310128
1997-07-16,0.0027541971472593
1997-07-17,0.0022264070152643
1997-07-18,-0.0052458898173565
1997-07-21,-0.0015309733029025998
1997-07-22,0.0112549091038717
1997-07-23,-0.000720035520571
1997-07-24,0.0028236787863951
1997-07-25,0.0016607806513369
1997-07-28,0.0023922128986321
1997-07-29,0.0026311974983446998
1997-07-30,0.008132057951381543
1997-07-31,0.0024073640902289
1997-08-01,-0.0045515945545885
1997-08-04,0.0012457596368494
1997-08-05,-0.0081283545944501
1997-08-06,0.0042590556577765
1997-08-07,-0.0029493372785106492
1997-08-08,-0.0082537231517246
1997-08-11,0.005814876528477999
1997-08-12,-0.0068442199860802005
1997-08-13,0.0017061897352773
1997-08-14,-0.0025682240263633
1997-08-15,-0.0051044413106895005
1997-08-18,0.0016886159298699999
1997-08-19,0.0067124809340455
1997-08-20,0.005009603949097
1997-08-21,-0.0056350398720256
1997-08-22,0.0031974088342316
1997-08-25,-0.0032025325350132
1997-08-26,-0.0020073949903255
1997-08-27,-0.00039584439068370003
1997-08-28,-0.0040216584943623
1997-08-29,-0.0036813534768460002
1997-09-02,0.011887581012413
1997-09-03,0.0012388670595474
1997-09-04,0.0006069622331839
1997-09-05,-0.00037280136264785773
1997-09-08,0.0019866224572644
1997-09-09,0.0026949782042467
1997-09-10,-0.0082554205788842
1997-09-11,-0.0021005748132395
1997-09-12,0.0056624035612267
1997-09-15,-0.0020069738525060003
1997-09-16,0.0069103267423806
1997-09-17,-0.0001240184330092
1997-09-18,0.005013897832397479
1997-09-19,0.0014714562798145
1997-09-22,0.0022699167944588
1997-09-23,-0.0013662055510780002
1997-09-24,-6.700916761779997e-05
1997-09-25,-0.0022248820569471
1997-09-26,0.0057435531210801
1997-09-29,0.012045512064328601
1997-09-30,0.0032251411485894597
1997-10-01,0.0031248268838376878
1997-10-02,0.0012051000534525
1997-10-03,0.0082350335867299
1997-10-06,0.0009988169063101001
1997-10-07,0.0033379255257387002
1997-10-08,-0.0036094422227173997
1997-10-09,-0.0066740709159308995
1997-10-10,-0.0011515156672353
1997-10-14,-0.0005521311768226002
1997-10-15,-0.0047897499936883
1997-10-16,-0.0075312316634794
1997-10-17,-0.0054972755060738
1997-10-20,0.0023499092625703
1997-10-21,0.0092047417304004
1997-10-22,-1.843460617409383e-05
1997-10-23,-0.0101128523140135
1997-10-24,-0.015090273160038668
1997-10-27,-0.0299121190674726
1997-10-28,0.022151727571243677
1997-10-29,-0.0005051975786931
1997-10-30,-0.0052574075176352
1997-10-31,-0.0012949784109998002
1997-11-03,0.014617070893182699
1997-11-04,0.0009902024651331
1997-11-05,0.0010811899236604998
1997-11-06,4.489015999606654e-05
1997-11-07,-0.007988689223829901
1997-11-10,-0.0036540926981409
1997-11-12,-0.0109221327535026
1997-11-13,0.012342569804282201
1997-11-14,0.0004673400618327591
1997-11-17,0.010819648990602301
1997-11-18,-0.002482888883003
1997-11-19,0.0070589449279834
1997-11-20,0.0061795608517917
1997-11-21,0.007798489021775009
1997-11-24,-0.009640938095936299
1997-11-25,-0.0030099746028747
1997-11-26,-0.0022945037858586002
1997-11-28,0.0034115316383583
1997-12-01,0.010084175856798
1997-12-02,-4.1283540150900005e-05
1997-12-03,0.0011130660669988
1997-12-04,-0.0030132203153389998
1997-12-05,0.008711348970996319
1997-12-08,-0.0013738852812797998
1997-12-09,-0.0027896918363865
1997-12-10,0.009536689516635501
1997-12-11,-0.0104011004047273
1997-12-12,0.0019100014244728268
1997-12-15,0.0064141003451342
1997-12-16,0.0035452681506262
1997-12-17,-0.00047148636951223984
1997-12-18,-0.002582123729960549
1997-12-19,-0.003840203831031
1997-12-22,0.0035261418935920996
1997-12-23,-0.0019500935704478
1997-12-24,-0.0002260152186853
1997-12-26,0.0004751702092368
1997-12-29,0.0037432322272658
1997-12-30,0.0024603634089028
1997-12-31,-0.0037104261655972
1998-01-02,0.0013517425651037001
1998-01-05,-0.0018893962489685001
1998-01-06,-0.003257591405581
1998-01-07,-0.0030269552963271998
1998-01-08,-0.012672651677219801
1998-01-09,-0.0159999855082103
1998-01-12,-0.0018204056565652
1998-01-13,0.013943054519718752
1998-01-14,0.0031151833788397552
1998-01-15,0.0027506619354590997
1998-01-16,0.0042240225212446
1998-01-20,0.0043163912564978
1998-01-21,-0.0029675355399923
1998-01-22,-0.0068291915534062
1998-01-23,0.0031524945687585047
1998-01-26,0.0011297132425199
1998-01-27,0.0127063252855354
1998-01-28,0.0040981933565442
1998-01-29,0.0028714038341965003
1998-01-30,0.00045677046557319995
1998-02-02,0.0123868114429888
1998-02-03,0.0097240372621192
1998-02-04,0.0114397683315318
1998-02-05,0.0053634457676023
1998-02-06,-0.0030695017351817
1998-02-09,-0.00352515707745
1998-02-10,0.007222871354162847
1998-02-11,-0.0004888395726563
1998-02-12,-0.00021367945322895722
1998-02-13,0.0006431881811207001
1998-02-17,-0.0060819910380788
1998-02-18,-0.0004018176892163
1998-02-19,0.0013058884244340312
1998-02-20,-0.0052040011196615
1998-02-23,-0.0022141854721663998
1998-02-24,-0.006844821731119098
1998-02-25,-0.0020020434320742
1998-02-26,0.0070084869825042
1998-02-27,0.010210670857291
1998-03-02,0.0008853813878724999
1998-03-03,-0.0034025603222717
1998-03-04,-0.0041346086212708
1998-03-05,-0.0057116207602658006
1998-03-06,0.0017222762765250002
1998-03-09,-0.0008924499788312999
1998-03-10,0.0109948879260266
1998-03-11,-0.0022196653049065002
1998-03-12,0.0027549483584282594
1998-03-13,-0.0024436561030991002
1998-03-16,0.0049654197837579
1998-03-17,-0.0044130303459381
1998-03-18,0.003904233021042995
1998-03-19,0.0023130021535534002
1998-03-20,0.008990420946524101
1998-03-23,0.0037237987991383
1998-03-24,0.0037107666119997997
1998-03-25,-0.0033485867661444
1998-03-26,-0.0006273850132225999
1998-03-27,-0.0009508178517352155
1998-03-30,-0.0038290825495651
1998-03-31,0.0067840208841888
1998-04-01,-0.0015587865297349
1998-04-02,0.0110577415307978
1998-04-03,0.005752870304106801
1998-04-06,0.0007188017394092001
1998-04-07,-0.004647757289995
1998-04-08,-0.0040725999061059
1998-04-09,0.004566295985030172
1998-04-13,0.0035010108388184
1998-04-14,-0.000409136533483
1998-04-15,0.0008911890080321001
1998-04-16,-0.0055913512169049
1998-04-17,0.0036679876557637
1998-04-20,-0.0026309080416368
1998-04-21,0.0026061873072667
1998-04-22,0.0032862752011902996
1998-04-23,-0.0042237144586187
1998-04-24,-0.006329211433908101
1998-04-27,-0.013464296615487101
1998-04-28,-0.001663539774138
1998-04-29,0.0046520717829967
1998-04-30,0.0066590163430291
1998-05-01,0.0006684324807959
1998-05-04,0.0023262062102386003
1998-05-05,-0.0073647429292109995
1998-05-06,-0.0108839986381277
1998-05-07,-0.0038837564934287925
1998-05-08,0.0041859436915259
1998-05-11,-0.005626881123032701
1998-05-12,0.000330771489658
1998-05-13,-0.0005231690289161999
1998-05-14,0.00037499935249120007
1998-05-15,-0.0016845146024933
1998-05-18,-0.0094700969895198
1998-05-19,-0.00359112498223
1998-05-20,0.0095687500837343
1998-05-21,0.0005045328285765
1998-05-22,-0.003070249461298458
1998-05-26,-0.0132428576136447
1998-05-27,-0.0019043007389905999
1998-05-28,-0.0024794613501422
1998-05-29,-0.0013557316562451001
1998-06-01,-0.0021038761731581
1998-06-02,0.0049602979618727
1998-06-03,-0.0036200581838548513
1998-06-04,0.0044673769096866996
1998-06-05,0.0074634598932898
1998-06-08,0.0081369550502827
1998-06-09,-0.0049294948786589
1998-06-10,-0.0012108354254694999
1998-06-11,-0.013518706496594599
1998-06-12,-0.0012288864317152458
1998-06-15,-0.010351897460216199
1998-06-16,0.005415160830910483
1998-06-17,0.01472221584590067
1998-06-18,-0.0029220593588791
1998-06-19,0.0025535015812903
1998-06-22,-0.0033054869057808
1998-06-23,0.004546274615923
1998-06-24,0.0035531770550115
1998-06-25,0.0029612847412345
1998-06-26,-0.00046221924465902843
1998-06-29,0.0021088650545879996
1998-06-30,0.0043698125888394
1998-07-01,0.0051492387133037
1998-07-02,-0.0043814672722164
1998-07-06,0.0031397844111734
1998-07-07,0.0023890665396661
1998-07-08,0.0035526498456923
1998-07-09,-0.0044278442854332
1998-07-10,0.0009156542251409999
1998-07-13,0.0004647394618462
1998-07-14,0.0064385082902037
1998-07-15,-0.0012891212333036
1998-07-16,0.0023562860297391365
1998-07-17,0.0017426158251143999
1998-07-20,0.0016996792338133
1998-07-21,-0.0079597973005524
1998-07-22,0.0023898475874544
1998-07-23,-0.004709259240378921
1998-07-24,-0.0043441010336078
1998-07-27,0.00027352171238489997
1998-07-28,-0.0055094120195188
1998-07-29,-0.0042296142871529
1998-07-30,0.0040374883014515
1998-07-31,-0.0098535272717289
